2025-11-10 13:46:18,933 - INFO - ============================================================
2025-11-10 13:46:18,934 - INFO - SUPREME SYSTEM V5 - SIMPLE PAPER TRADING
2025-11-10 13:46:18,934 - INFO - ============================================================
2025-11-10 13:46:18,934 - INFO - Duration: 1 hours
2025-11-10 13:46:18,935 - INFO - Start Time: 2025-11-10 13:46:18.929418
2025-11-10 13:46:18,935 - INFO - End Time: 2025-11-10 14:46:18.929418
2025-11-10 13:46:18,935 - INFO - Initial Capital: $10,000.00
2025-11-10 13:46:18,935 - INFO - Strategies: Moving Average, Mean Reversion, Momentum, Breakout
2025-11-10 13:46:18,936 - INFO - ============================================================
2025-11-10 13:46:18,936 - INFO - Starting trading loop...
2025-11-10 13:46:59,061 - WARNING - Error generating signal for Moving Average on LINKUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:01,072 - WARNING - Error generating signal for Mean Reversion on BTCUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:01,077 - WARNING - Error generating signal for Mean Reversion on ETHUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:01,094 - INFO - STATUS: $10,000.00 | P&L: $+0.00 (+0.0%) | Positions: 0 | Trades: 0 | .1f
2025-11-10 13:47:03,096 - WARNING - Error generating signal for Mean Reversion on ETHUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:03,096 - WARNING - Error generating signal for Mean Reversion on ADAUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:03,118 - INFO - STATUS: $10,000.00 | P&L: $+0.00 (+0.0%) | Positions: 0 | Trades: 0 | .1f
2025-11-10 13:47:05,134 - WARNING - Error generating signal for Moving Average on ADAUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:09,176 - WARNING - Error generating signal for Moving Average on LINKUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:13,208 - WARNING - Error generating signal for Mean Reversion on ADAUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:21,292 - WARNING - Error generating signal for Moving Average on LINKUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:23,309 - WARNING - Error generating signal for Moving Average on DOTUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:25,339 - WARNING - Error generating signal for Moving Average on ADAUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:27,389 - WARNING - Error generating signal for Momentum on ADAUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:29,424 - WARNING - Error generating signal for Moving Average on DOTUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:29,424 - WARNING - Error generating signal for Moving Average on LINKUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:29,440 - WARNING - Error generating signal for Mean Reversion on LINKUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:35,523 - WARNING - Error generating signal for Moving Average on LINKUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-11-10 13:47:37,556 - WARNING - Error generating signal for Mean Reversion on LINKUSDT: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
